,name,image,address,url,tuition_fee_min,tuition_fee_max,tuition_fee_currency,toefl,ielts,ielts_each_band,det,pte,intakes,duration
0,Kingston University,https://pathfinders-media.s3.amazonaws.com/university-logos/Kingston_University.png,Uk,http://www.kingston.ac.uk/,14000.0,19000.0,,88.0,4.5,4.0,,58.0,Sept/ Jan,1 year
1,University of Manchester,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Manchester.png,Uk,http://www.manchester.ac.uk/,19000.0,24000.0,,100.0,7.0,6.5,,59.0,Sept/Jan/May,1 or 2 years
2,University of Liverpool,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Liverpool.png,Uk,http://www.liv.ac.uk/,20000.0,25000.0,,78.0,6.0,5.5,,169.0,Sept/Jan/May,12 months or 2years
3,University of Leeds,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Leeds.png,Uk,http://www.leeds.ac.uk/,25000.0,35000.0,,80.0,6.5,6.0,,60.0,Sept/Jan/May,12 months
4,University of Glasgow,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Glasgow.png,Uk,http://www.gla.ac.uk/,19000.0,21000.0,,90.0,7.0,6.5,,68.0,Sept/Jan/May,1 or 2 years
5,University of Exeter,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Exeter.png,Uk,http://www.exeter.ac.uk/,18000.0,21000.0,,90.0,6.0,6.0,,80.0,Sept/Jan/May,12 months
6,Standford University,https://pathfinders-media.s3.amazonaws.com/university-logos/5.png,Us,,,,,200.0,6.0,,,,,
7,University of Cambridge,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Cambridge.png,Uk,http://www.cam.ac.uk/,24000.0,38000.0,,100.0,7.0,6.5,,58.0,Sept/Jan/May,2 years
8,University of Bristol,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Bristol.jpg,Uk,http://www.bris.ac.uk/,13000.0,15000.0,,90.0,6.5,6.0,,67.0,Sept/Jan/May,1 year
9,University of South Florida,https://pathfinders-media.s3.amazonaws.com/university-logos/South-Florida-Bulls-Logo.png,Us,,,,,120.0,7.0,,,,fall,2
10,University of Birmingham,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Birmingham.png,Uk,http://www.birmingham.ac.uk/,20000.0,22000.0,,88.0,6.5,6.0,,68.0,Sept/Jan/May,1 or 2 years
11,Queenâs University Belfast,https://pathfinders-media.s3.amazonaws.com/university-logos/Queens_University_Belfast.jpg,Uk,http://www.qub.ac.uk/,18000.0,19000.0,,95.0,7.0,6.0,,55.0,Sept/Jan/May,12 months
12,Newcastle University,https://pathfinders-media.s3.amazonaws.com/university-logos/Newcastle_University.png,Uk,http://www.ncl.ac.uk/,11000.0,15000.0,,90.0,6.5,5.5,,62.0,Sept/Jan/May,12-18 months
13,Durham University,https://pathfinders-media.s3.amazonaws.com/university-logos/Durham_University.jpg,Uk,http://www.dur.ac.uk/,19000.0,28000.0,,93.0,6.5,5.5,,62.0,Sept/Jan/May,1or2 years
14,Cardiff University,https://pathfinders-media.s3.amazonaws.com/university-logos/Cardiff_University.jpg,Uk,http://www.cardiff.ac.uk/,17000.0,18000.0,,90.0,6.5,5.5,,69.0,Sept/Jan/May,12 months
15,University of Wollongong,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Wollongong.png,Australia,http://www.uow.edu.au/,25000.0,45000.0,,70.0,6.0,6.0,,54.0,nan,1.5 or 2 years
16,University of Western Australia,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Western_Australia.png,Australia,http://www.uwa.edu.au/,45000.0,50000.0,,82.0,6.5,6.0,,64.0,nan,16 months
17,University of Tasmania,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Tasmania.png,Australia,http://www.utas.edu.au/,21000.0,39000.0,,88.0,6.5,6.0,,58.0,nan,6 months- 1 years
18,University of Sydney,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Sydney.png,Australia,http://www.sydney.edu.au/,42000.0,44000.0,,87.0,6.5,6.0,,58.0,nan,2 years
19,University of Queensland,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Queensland.jpg,Australia,https://www.uq.edu.au/,36000.0,38000.0,,87.0,6.5,6.0,,64.0,nan,2 years
20,University of New England,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_New_England.png,Australia,http://www.une.edu.au/,26000.0,33000.0,,79.0,6.0,5.5,,57.0,nan,2 years
21,University of Melbourne,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Melbourne.png,Australia,http://www.unimelb.edu.au/,31000.0,50000.0,,79.0,6.5,6.0,,58.0,nan,1 year
22,University of Adelaide,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Adelaide.png,Australia,http://www.adelaide.edu.au/,18000.0,25000.0,,94.0,6.5,6.0,,58.0,nan,1 or 2 years
23,Southern Cross University,https://pathfinders-media.s3.amazonaws.com/university-logos/Southern_Cross_University.jpg,Australia,http://www.scu.edu.au/,28000.0,30000.0,,94.0,7.0,6.5,,65.0,nan,1 or 2 years
24,RMIT University,https://pathfinders-media.s3.amazonaws.com/university-logos/RMIT_University.png,Australia,http://www.rmit.com/,34000.0,49000.0,,50.0,5.5,5.0,,42.0,nan,1.5 or 2 years
25,Queensland University of Technology,https://pathfinders-media.s3.amazonaws.com/university-logos/Queensland_University_of_Technology.png,Australia,http://www.qut.edu.au/,30000.0,35000.0,,79.0,6.5,6.0,,58.0,nan,1 or 2 years
26,Murdoch University,https://pathfinders-media.s3.amazonaws.com/university-logos/Murdoch_University.png,Australia,http://www.murdoch.edu.au/,30000.0,51000.0,,73.0,6.0,5.5,,50.0,nan,1 or 2 years
27,Macquarie University,https://pathfinders-media.s3.amazonaws.com/university-logos/Macquarie_University.jpg,Australia,http://www.mq.edu.au/,33000.0,35000.0,,80.0,6.5,6.0,,58.0,nan,1 or 2 years
28,La Trobe University,https://pathfinders-media.s3.amazonaws.com/university-logos/La_Trobe_University.jpg,Australia,http://www.latrobe.edu.au/,33000.0,41000.0,,79.0,6.5,6.0,,58.0,nan,2 years
29,James Cook University,https://pathfinders-media.s3.amazonaws.com/university-logos/James_Cook_University.png,Australia,http://www.jcu.edu.au/,15000.0,18000.0,,74.0,6.0,6.0,,52.0,nan,16 months
30,Flinders University,https://pathfinders-media.s3.amazonaws.com/university-logos/Flinders_University.png,Australia,http://www.flinders.edu.au/,30000.0,60000.0,,72.0,6.0,5.5,,50.0,nan,1.5 years
31,Edith Cowan University,https://pathfinders-media.s3.amazonaws.com/university-logos/Edith_Cowan_University.png,Australia,http://www.ecu.edu.au/,31000.0,39000.0,,84.0,6.5,6.0,,64.0,nan,1-2 years
32,Curtin University,https://pathfinders-media.s3.amazonaws.com/university-logos/Curtin_University.png,Australia,http://www.curtin.edu.au/,30000.0,40000.0,,79.0,6.5,6.0,,58.0,nan,6-12 months
33,CQUniversity,https://pathfinders-media.s3.amazonaws.com/university-logos/CQ_University.png,Australia,https://www.cqu.edu.au/,32000.0,,,75.0,6.0,5.5,,54.0,nan,1 or 2 years
34,Charles Darwin University,https://pathfinders-media.s3.amazonaws.com/university-logos/Charles_Darwin_University.png,Australia,http://www.cdu.edu.au/,22000.0,,,75.0,6.5,6.0,,65.0,nan,12 months
35,Australian National University,https://pathfinders-media.s3.amazonaws.com/university-logos/Australian_National_University.png,Australia,http://www.anu.edu.au/,43000.0,46000.0,,80.0,6.5,6.0,,64.0,nan,12-18 Months
36,Australian Catholic University,https://pathfinders-media.s3.amazonaws.com/university-logos/Australian_Catholic_University.jpg,Australia,http://www.acu.edu.au/,19000.0,27000.0,,79.0,6.5,6.0,,58.0,Sept / Jan,12-18 Months
37,Lancaster University,https://pathfinders-media.s3.amazonaws.com/university-logos/Lancaster_University.png,Uk,http://www.lancs.ac.uk/,15000.0,17000.0,,87.0,7.5,7.0,,70.0,Sept/Jan,1 year
38,Leeds Metropolitan University,https://pathfinders-media.s3.amazonaws.com/university-logos/Leeds_Metropolitan_University.jpg,Uk,http://www.leedsmet.ac.uk/,15000.0,17000.0,,79.0,4.5,4.0,,54.0,Sept/Jan,1 or 2 years
39,Liverpool Hope University,https://pathfinders-media.s3.amazonaws.com/university-logos/Liverpool_Hope_University.jpg,Uk,http://www.hope.ac.uk/,17000.0,20000.0,,88.0,6.5,6.0,,58.0,Sept/Jan,12 months
40,London South Bank University,https://pathfinders-media.s3.amazonaws.com/university-logos/London_South_Bank_University.jpg,Uk,http://www.lsbu.ac.uk/,8000.0,25000.0,,90.0,6.5,6.0,120,60.0,Sept,12 months to 2years
41,Loughborough University,https://pathfinders-media.s3.amazonaws.com/university-logos/Loughborough_University.png,Uk,http://www.lboro.ac.uk/,20000.0,26000.0,,92.0,6.5,6.0,,67.0,Sept/Jan,12 months
42,Manchester Metropolitan University,https://pathfinders-media.s3.amazonaws.com/university-logos/Manchester_Metropolitan_University.png,Uk,http://www.mmu.ac.uk/,15000.0,20000.0,,89.0,6.5,6.0,,65.0,Sept/ Jan,1-2 years
43,Middlesex University,https://pathfinders-media.s3.amazonaws.com/university-logos/Middlesex_University.png,Uk,http://www.mdx.ac.uk/,24000.0,30000.0,,87.0,6.5,6.0,,59.0,Sept/Jan,1-2 years
44,Nottingham Trent University,https://pathfinders-media.s3.amazonaws.com/university-logos/Nottingham_Trent_University.png,Uk,http://www.ntu.ac.uk/,13000.0,18000.0,,100.0,6.5,6.0,,58.0,Sept/ Jan,1-2 years
45,Oxford Brookes University,https://pathfinders-media.s3.amazonaws.com/university-logos/oxford_Brookes_University.png,Uk,http://www.brookes.ac.uk/,15000.0,17000.0,,100.0,7.0,0.0,,67.0,Sept/ Jan,1 year
46,Queen Margaret University,https://pathfinders-media.s3.amazonaws.com/university-logos/Queen_Margaret_University.png,Uk,http://www.qmu.ac.uk/,15000.0,17000.0,,100.0,6.5,6.0,,58.0,Sept,1 year
47,Robert Gordon University,https://pathfinders-media.s3.amazonaws.com/university-logos/Robert_Gordon_University.jpg,Uk,http://www.rgu.ac.uk/,15000.0,20000.0,,88.0,6.5,6.0,,56.0,Sept/Jan /May,12-17 months
48,"Royal Holloway, University of London",https://pathfinders-media.s3.amazonaws.com/university-logos/Royal_Holloway_University_of_London.jpg,Uk,http://www.rhul.ac.uk/,21000.0,24000.0,,88.0,6.5,6.0,,61.0,Sept/Jan/April,12 months
49,Southampton Solent University,https://pathfinders-media.s3.amazonaws.com/university-logos/Solent_University_Southampton.png,Uk,http://www.solent.ac.uk/,11000.0,16000.0,,80.0,6.0,0.5,,58.0,Sept/Jan,1 year
50,"St Georgeâs, University of London",https://pathfinders-media.s3.amazonaws.com/university-logos/St_Georges_University_of_London.png,Uk,http://www.sgul.ac.uk/,21000.0,22000.0,,93.0,7.0,6.0,,65.0,Sept/Jan,1-2 years
51,Teesside University,https://pathfinders-media.s3.amazonaws.com/university-logos/Teesside_University.jpg,Uk,http://www.tees.ac.uk/,15000.0,18000.0,,88.0,6.5,6.0,,58.0,Sept /Jan,2 Year
52,University of Aberdeen,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Aberdeen.png,Uk,http://www.abdn.ac.uk/,15000.0,32000.0,,78.0,6.0,5.5,,59.0,Spet/Jan,1-2 years
53,University of Abertay Dundee,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Abertay_Dundee.jpg,Uk,http://www.abertay.ac.uk/,15000.0,17000.0,,78.0,6.0,5.5,,54.0,Sept/Jan,1 year
54,University of Bath,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Bath.png,Uk,http://www.bath.ac.uk/,23000.0,26000.0,,72.0,6.5,6.0,,55.0,Sept,1 year
55,Keele University,https://pathfinders-media.s3.amazonaws.com/university-logos/Keele_University.png,Uk,http://www.keele.ac.uk/,12000.0,14000.0,,79.0,6.5,5.5,,50.0,Sept/Jan,12-20 months
56,Heriot-Watt University,https://pathfinders-media.s3.amazonaws.com/university-logos/Heriot_Watt_University.png,Uk,http://www.hw.ac.uk/,13000.0,25000.0,,90.0,6.5,6.0,,58.0,Sept/Jan,1 or 2 years
57,"Goldsmithâs, University of London",https://pathfinders-media.s3.amazonaws.com/university-logos/Goldsmiths_University_of_London.png,Uk,http://www.gold.ac.uk/,17000.0,21000.0,,70.0,6.0,5.5,,58.0,Sept/ Jan,1 year
58,Glasgow Caledonian University,https://pathfinders-media.s3.amazonaws.com/university-logos/Glasgow_Caledonian_University.jpg,Uk,http://www.gcu.ac.uk/,16000.0,19000.0,,78.0,6.0,0.5,,54.0,Sept/ Jan,1 or 2 years
59,Falmouth University,https://pathfinders-media.s3.amazonaws.com/university-logos/Falmouth_University.png,Uk,http://www.falmouth.ac.uk/,16000.0,20000.0,,88.0,6.5,6.0,,60.0,Sept/Jan,1 year
60,Edinburgh Napier University,https://pathfinders-media.s3.amazonaws.com/university-logos/Edinburgh_Napier_University.png,Uk,http://www.napier.ac.uk/,16000.0,19000.0,,80.0,6.0,5.5,,56.0,Sept/Jan,12-16 months
61,De Montfort University,https://pathfinders-media.s3.amazonaws.com/university-logos/De_Montfort_University.jpg,Uk,http://www.dmu.ac.uk/,15000.0,20000.0,,89.0,6.0,5.5,,59.0,Sept/Jan/Apirl,15 months
62,Cardiff Metropolitan University,https://pathfinders-media.s3.amazonaws.com/university-logos/Cardiff_Metropolitan_University.jpg,Uk,http://www.cardiffmet.ac.uk/,17000.0,19000.0,,83.0,6.5,5.5,,62.0,Sept/ Jan,12-16 months
63,Canterbury Christ Church University,https://pathfinders-media.s3.amazonaws.com/university-logos/Canteburry_Christ_Church_University.jpg,Uk,http://www.canterbury.ac.uk/,15000.0,18000.0,,94.0,6.0,0.5,,59.0,Sept,1 year
64,Buckinghamshire New University,https://pathfinders-media.s3.amazonaws.com/university-logos/Buckinghamshire_New_University.png,Uk,http://www.bucks.ac.uk/,16000.0,18000.0,,80.0,6.5,6.0,,50.0,Sept/Jan,1 or 2 years
65,Brunel University,https://pathfinders-media.s3.amazonaws.com/university-logos/Brunel_University.png,Uk,http://www.brunel.ac.uk/,17000.0,25000.0,,90.0,6.5,6.0,,59.0,Sept,1 or 2 years
66,Bangor University,https://pathfinders-media.s3.amazonaws.com/university-logos/Bangor_University.png,Uk,http://www.bangor.ac.uk/,16000.0,18000.0,,75.0,6.0,5.5,,56.0,Sept/ Jan,1 or 2 years
67,Aston University,https://pathfinders-media.s3.amazonaws.com/university-logos/Aston_University.png,Uk,http://www.aston.ac.uk/,16000.0,24000.0,,78.0,6.0,6.0,,80.0,Sept/Jan,12 months or 2 years
68,Anglia Ruskin University,https://pathfinders-media.s3.amazonaws.com/university-logos/Anglia_Ruskin_University.png,Uk,http://www.anglia.ac.uk/,16000.0,18000.0,,88.0,6.5,5.5,,61.0,Sept/ Jan,12 months
69,Aberystwyth University,https://pathfinders-media.s3.amazonaws.com/university-logos/Aberystwyth_University.png,Uk,http://www.aber.ac.uk/,15000.0,17000.0,,88.0,6.0,5.5,,55.0,Sept/Jan,1 year
70,University of Warwick,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Warwick.png,Uk,https://warwick.ac.uk/,18000.0,43000.0,,92.0,6.5,6.0,,62.0,Sept,12 months or 2 years
71,University of Southampton,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Southampton.png,Uk,http://www.southampton.ac.uk/,22000.0,28000.0,,82.0,6.5,6.0,,51.0,Sept/Jan/May,1 years
72,University of Sheffield,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_sheffield.png,Uk,http://www.shef.ac.uk/,20000.0,25000.0,,95.0,7.0,6.5,,67.0,Sept,1 or 2 years
73,Liverpool John Moores University,https://pathfinders-media.s3.amazonaws.com/university-logos/Liverpool_John_Moores_University.png,Uk,http://www.ljmu.ac.uk/,18000.0,20000.0,,78.0,6.0,5.5,,57.0,Sept,12-20 months
74,University of Bradford,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Bradford.jpg,Uk,http://www.bradford.ac.uk/external,22000.0,24000.0,,80.0,6.0,5.5,,55.0,Sept/Jan,1 year
75,University of Chichester,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Chichester.jpg,Uk,http://www.chi.ac.uk/,21000.0,23000.0,,78.0,6.5,6.0,,58.0,Sept/ Jan,1 year
76,University of Cumbria,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Cumbria.jpg,Uk,http://www.cumbria.ac.uk/,13000.0,16000.0,,80.0,6.5,5.5,,62.0,Sept /Jan,1-2 years
77,University of Derby,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Derby.png,Uk,http://www.derby.ac.uk/,14000.0,17000.0,,80.0,6.5,5.5,,52.0,Sept/ Jan / May,1-2 years
78,University of Dundee,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Dundee.png,Uk,http://www.dundee.ac.uk/,13000.0,25000.0,,78.0,6.0,5.5,,59.0,Sept/Jan,12-24 months
79,University of East London,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_East_London.png,Uk,http://www.uel.ac.uk/,14000.0,16000.0,,94.0,6.0,5.5,,65.0,Sept/ Jan,12 months-2 years
80,University of Essex,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Essex.jpg,Uk,http://www.essex.ac.uk/,19000.0,23000.0,,88.0,6.0,5.5,,60.0,Sept /Jan,2 years
81,University of Gloucestershire,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Gloucestershire.png,Uk,http://www.glos.ac.uk/,20000.0,22000.0,,88.0,6.5,5.5,,70.0,Sept/ Jan/ May,1-2 years
82,University of Greenwich,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Greenwich.jpg,Uk,https://www.gre.ac.uk/,13000.0,20000.0,,93.0,6.5,5.5,,58.0,Sept /Jan,12 months-2 years
83,University of Highlands & Islands,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Highlands__Islands.jpg,Uk,http://www.uhi.ac.uk/en,19000.0,23000.0,,72.0,6.0,5.5,,50.0,Sept/ Jan,1 year
